Component ID,Component Type,Component Age,Component Specifications,Maintenance Activity,Maintenance Duration,Temperature,Vibration,Pressure,Voltage,Failure Causes,Humidity,Failure History,Maintenance Cost,Rainfall,Mean Time to Repair
C001,Cooling Fan,10,1500 RPM,"['p3', 'p2', 'c2']",4,25.3,0.1,1017,24,Mechanical Faults,66,"['F1', 'F4']",6983,0.8,9
C002,Coupling Rod,10,Carbon Steel,['c2'],1,35.8,0.4,1012,24,Corrosion,59,"['F1', 'F2', 'F3']",6111,0.1,8
C003,Brake Pad,6,,"['p2', 'c2']",1,29.9,0.1,1014,24,Corrosion,66,"['F1', 'F2', 'F3']",7568,0.6,10
C004,Switch,7,Toggle,"['p1', 'c1']",6,31,0.1,1013,24,Corrosion,63,"['F1', 'F2', 'F3', 'F4']",8633,0.3,7
C005,Capacitor,6,1000 µF,['p3'],4,36.5,0.5,1013,24,Overloading,62,['F1'],10578,0.5,7
C006,Transformer,8,1000 KVA,"['p3', 'c3']",6,27,0.5,1015,24,Overloading,66,"['F1', 'F3']",11888,0.3,2
C007,Resistor,4,50 ohms,['c3'],5,37.6,0.2,1010,24,Lack of Lubrication,59,"['F2', 'F4']",10640,0.9,2
C008,Heat Exchanger,2,Cooling capacity 5000 BTU,['c3'],5,24.8,0.3,1013,24,Electrical Faults,61,"['F1', 'F3', 'F4']",11897,0.4,4
C009,Brake Pad,8,,['c2'],5,39,0.3,1013,24,Wear and Tear,56,"['F2', 'F4']",11998,0.6,7
C010,Transducer,10,Pressure,"['c2', 'p1']",5,33.4,0.4,1017,24,Mechanical Faults,60,"['F1', 'F2']",9269,0.8,2
C011,Relay,6,Electromagnetic,"['p2', 'c2', 'p1']",6,35.4,0.2,1014,24,Overloading,64,['F3'],7564,0.1,6
C012,Transformer,7,1000 KVA,['c2'],2,37.1,0.4,1014,24,Electrical Faults,59,"['F1', 'F2', 'F3', 'F4']",6705,0.4,6
C013,Heat Exchanger,7,Cooling capacity 6000 BTU,"['c2', 'p1', 'p2']",6,34.7,0.3,1011,24,Overloading,59,"['F1', 'F2', 'F3', 'F4']",6705,0.8,9
C014,Insulator,7,Porcelain,['p1'],3,38.2,0.4,1016,24,Corrosion,61,"['F2', 'F3']",9781,0.7,3
C015,Roller,5,80 mm diameter,"['p2', 'c1']",7,26.4,0.5,1019,24,Mechanical Faults,62,"['F1', 'F3', 'F4']",7366,0.7,5
C016,Gear,3,Stainless Steel,"['c2', 'p1', 'c1']",8,31.3,0.5,1014,24,Lack of Lubrication,58,"['F1', 'F2', 'F3', 'F4']",9274,0.1,7
C017,Pantograph,1,Copper,['c2'],7,30.9,0.4,1019,24,Lack of Lubrication,61,"['F1', 'F2', 'F4']",5179,0.1,5
C018,Inverter,8,200 V,"['p3', 'p2']",5,31.2,0.4,1011,24,Overloading,61,"['F1', 'F3']",5347,0.4,8
C019,Valve,1,Solenoid Valve,"['c3', 'p2']",6,34.9,0.3,1012,24,Wear and Tear,58,"['F1', 'F2', 'F3']",10048,0.6,10
C020,Horn,8,120 db,"['p1', 'p2']",7,26.6,0.5,1010,24,Fatigue,59,"['F1', 'F2', 'F3']",5426,0.3,3
C021,Motor,4,10 kW,"['p1', 'p3', 'p2']",3,36.1,0.1,1011,24,Lack of Lubrication,61,"['F1', 'F3', 'F4']",9964,0.7,2
C022,Relay,8,Electrical,"['c3', 'p1']",4,25.5,0.5,1017,24,Electrical Faults,60,"['F1', 'F2']",10423,0.8,9
C023,Wheelset,3,Iron,"['p1', 'c2']",5,32,0.1,1020,24,Lack of Lubrication,60,['F2'],7195,0.8,5
C024,Filter,4,,"['c1', 'p3', 'c3']",4,32.6,0.4,1011,24,Mechanical Faults,58,"['F1', 'F2', 'F3', 'F4']",8838,0.2,3
C025,Brake Pad,6,,"['p2', 'p1', 'c2']",4,37.1,0.1,1012,24,Lack of Lubrication,65,"['F1', 'F2', 'F4']",6306,0.3,7
C026,Coupler,9,Automatic,"['c2', 'p2', 'c1']",1,28.1,0.3,1017,24,Corrosion,66,"['F1', 'F2', 'F3', 'F4']",8930,0.5,9
C027,Motor,9,20 kW,['p2'],8,23.7,0.1,1014,24,Lack of Lubrication,62,"['F1', 'F2', 'F3', 'F4']",6331,0.6,10
C028,Insulator,8,Polystyrene,['c1'],1,27.3,0.2,1013,24,Wear and Tear,55,['F2'],7985,0.3,9
C029,Doors,7, Steel,"['p2', 'c2', 'p3']",7,26.3,0.5,1019,24,Electrical Faults,66,"['F3', 'F4']",8147,0.5,6
C030,Pantograph,8,Silver,"['c2', 'c3', 'c1']",4,28.9,0.1,1019,24,Fatigue,66,['F1'],6237,0.5,6
C031,Motor,1,30 kW,['p1'],5,29.7,0.2,1016,24,Corrosion,64,"['F1', 'F2', 'F4']",8345,0.2,2
C032,Bogie,4,300 tons,"['p2', 'c2', 'c1']",3,26.6,0.1,1010,24,Overloading,60,"['F3', 'F4']",7710,0.9,4
C033,Brakes,3,Disc Brakes,"['p1', 'c2']",1,28.4,0.4,1018,24,Wear and Tear,59,"['F1', 'F4']",9232,0.8,3
C034,Battery,5,,['c3'],7,34.2,0.2,1013,24,Wear and Tear,57,['F1'],7488,0.9,3
C035,Pantograph,6,Silver,"['c1', 'c2']",2,26.7,0.4,1016,24,Electrical Faults,60,['F3'],7816,0.8,2
C036,Brakes,2,Disc Brakes,['p1'],6,32.9,0.5,1010,24,Fatigue,56,"['F3', 'F4']",5939,0.3,9
C037,Pantograph,10,Copper,"['p2', 'p3']",4,39.4,0.3,1015,24,Fatigue,60,"['F2', 'F3', 'F4']",6575,0.6,7
C038,Inverter,6,200 V,"['p1', 'p3']",5,31,0.4,1015,24,Corrosion,63,['F1'],9028,0.1,3
C039,Cooling Fan,3,500 RPM,"['c1', 'c3']",5,25.6,0.1,1019,24,Overloading,65,['F1'],10107,0.1,6
C040,Roller,10,120 mm diameter,['c2'],7,33,0.4,1019,24,Electrical Faults,66,"['F1', 'F2', 'F3']",6539,0.7,5
C041,Shaft,10,Carbon Steel,"['p3', 'c3']",1,31,0.1,1013,24,Lack of Lubrication,65,"['F1', 'F2', 'F4']",9326,0.1,9
C042,Heat Exchanger,4,Cooling capacity 6000 BTU,['p3'],6,31.3,0.1,1014,24,Overloading,57,"['F1', 'F2', 'F3', 'F4']",8675,0.5,2
C043,Inverter,5,200 V,"['p2', 'c2', 'p3']",1,32.8,0.5,1015,24,Overloading,62,['F3'],5224,0.3,1
C044,Gasket,8,Sterlant,['c3'],3,30.8,0.4,1017,24,Electrical Faults,61,['F3'],7702,0.2,5
